1 2022/08/08 18:39:49,057 4150 [DEBUG ] [TestNG-test=FirefoxTest-3] internal.logging.InternalLoggerFactory internal.logging.InternalLoggerFactory.useLog4J2LoggerFactory(InternalLoggerFactory.java:76) - Using Log4J2 as the default logging framework
2 2022/08/08 18:39:49,085 4178 [DEBUG ] [TestNG-test=FirefoxTest-3] netty.util.ResourceLeakDetector netty.util.ResourceLeakDetector.<clinit>(ResourceLeakDetector.java:129) - -Dio.netty.leakDetection.level: simple
3 2022/08/08 18:39:49,086 4179 [DEBUG ] [TestNG-test=FirefoxTest-3] netty.util.ResourceLeakDetector netty.util.ResourceLeakDetector.<clinit>(ResourceLeakDetector.java:130) - -Dio.netty.leakDetection.targetRecords: 4
4 2022/08/08 18:39:49,107 4200 [DEBUG ] [TestNG-test=FirefoxTest-3] netty.util.ResourceLeakDetectorFactory netty.util.ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(ResourceLeakDetectorFactory.java:196) - Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@28a232c6
5 2022/08/08 18:39:49,147 4240 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent0 util.internal.PlatformDependent0.explicitNoUnsafeCause0(PlatformDependent0.java:460) - -Dio.netty.noUnsafe: false
6 2022/08/08 18:39:49,148 4241 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent0 util.internal.PlatformDependent0.javaVersion0(PlatformDependent0.java:954) - Java version: 16
7 2022/08/08 18:39:49,150 4243 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent0 util.internal.PlatformDependent0.<clinit>(PlatformDependent0.java:135) - sun.misc.Unsafe.theUnsafe: available
8 2022/08/08 18:39:49,151 4244 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent0 util.internal.PlatformDependent0.<clinit>(PlatformDependent0.java:159) - sun.misc.Unsafe.copyMemory: available
9 2022/08/08 18:39:49,153 4246 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent0 util.internal.PlatformDependent0.<clinit>(PlatformDependent0.java:202) - java.nio.Buffer.address: available
10 2022/08/08 18:39:49,154 4247 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent0 util.internal.PlatformDependent0.<clinit>(PlatformDependent0.java:285) - direct buffer constructor: unavailable: Reflective setAccessible(true) disabled
11 2022/08/08 18:39:49,156 4249 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent0 util.internal.PlatformDependent0.<clinit>(PlatformDependent0.java:350) - java.nio.Bits.unaligned: available, true
12 2022/08/08 18:39:49,158 4251 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent0 util.internal.PlatformDependent0.<clinit>(PlatformDependent0.java:417) - jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable: class io.netty.util.internal.PlatformDependent0$6 cannot access class jdk.internal.misc.Unsafe (in module java.base) because module java.base does not export jdk.internal.misc to unnamed module @3551a94
13 2022/08/08 18:39:49,160 4253 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent0 util.internal.PlatformDependent0.<clinit>(PlatformDependent0.java:446) - java.nio.DirectByteBuffer.<init>(long, int): unavailable
14 2022/08/08 18:39:49,161 4254 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent util.internal.PlatformDependent.unsafeUnavailabilityCause0(PlatformDependent.java:1116) - sun.misc.Unsafe: available
15 2022/08/08 18:39:49,162 4255 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent util.internal.PlatformDependent.estimateMaxDirectMemory(PlatformDependent.java:1227) - maxDirectMemory: 4234149888 bytes (maybe)
16 2022/08/08 18:39:49,163 4256 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent util.internal.PlatformDependent.tmpdir0(PlatformDependent.java:1246) - -Dio.netty.tmpdir: C:\Users\10684951\AppData\Local\Temp (java.io.tmpdir)
17 2022/08/08 18:39:49,163 4256 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent util.internal.PlatformDependent.bitMode0(PlatformDependent.java:1325) - -Dio.netty.bitMode: 64 (sun.arch.data.model)
18 2022/08/08 18:39:49,164 4257 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent util.internal.PlatformDependent.isWindows0(PlatformDependent.java:1076) - Platform: Windows
19 2022/08/08 18:39:49,166 4259 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent util.internal.PlatformDependent.<clinit>(PlatformDependent.java:178) - -Dio.netty.maxDirectMemory: -1 bytes
20 2022/08/08 18:39:49,166 4259 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent util.internal.PlatformDependent.<clinit>(PlatformDependent.java:185) - -Dio.netty.uninitializedArrayAllocationThreshold: -1
21 2022/08/08 18:39:49,169 4262 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.CleanerJava9 util.internal.CleanerJava9.<clinit>(CleanerJava9.java:71) - java.nio.ByteBuffer.cleaner(): available
22 2022/08/08 18:39:49,169 4262 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent util.internal.PlatformDependent.<clinit>(PlatformDependent.java:205) - -Dio.netty.noPreferDirect: false
23 2022/08/08 18:39:49,195 4288 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.PlatformDependent util.internal.PlatformDependent$Mpsc.<clinit>(PlatformDependent.java:967) - org.jctools-core.MpscChunkedArrayQueue: available
24 2022/08/08 18:39:49,221 4314 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.InternalThreadLocalMap util.internal.InternalThreadLocalMap.<clinit>(InternalThreadLocalMap.java:86) - -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
25 2022/08/08 18:39:49,222 4315 [DEBUG ] [TestNG-test=FirefoxTest-3] util.internal.InternalThreadLocalMap util.internal.InternalThreadLocalMap.<clinit>(InternalThreadLocalMap.java:89) - -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
26 2022/08/08 18:39:49,566 4659 [DEBUG ] [TestNG-test=FirefoxTest-3] handler.ssl.JdkSslContext handler.ssl.JdkSslContext.<clinit>(JdkSslContext.java:97) - Default protocols (JDK): [TLSv1.3, TLSv1.2] 
27 2022/08/08 18:39:49,566 4659 [DEBUG ] [TestNG-test=FirefoxTest-3] handler.ssl.JdkSslContext handler.ssl.JdkSslContext.<clinit>(JdkSslContext.java:98) - Default cipher suites (JDK): [TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA, TLS_RSA_WITH_AES_128_GCM_SHA256, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_256_CBC_SHA, TLS_AES_128_GCM_SHA256, TLS_AES_256_GCM_SHA384]
28 2022/08/08 18:39:49,611 4704 [DEBUG ] [TestNG-test=FirefoxTest-3] netty.channel.MultithreadEventLoopGroup netty.channel.MultithreadEventLoopGroup.<clinit>(MultithreadEventLoopGroup.java:44) - -Dio.netty.eventLoopThreads: 16
29 2022/08/08 18:39:49,629 4722 [DEBUG ] [TestNG-test=FirefoxTest-3] channel.nio.NioEventLoop channel.nio.NioEventLoop.<clinit>(NioEventLoop.java:109) - -Dio.netty.noKeySetOptimization: false
30 2022/08/08 18:39:49,630 4723 [DEBUG ] [TestNG-test=FirefoxTest-3] channel.nio.NioEventLoop channel.nio.NioEventLoop.<clinit>(NioEventLoop.java:110) - -Dio.netty.selectorAutoRebuildThreshold: 512
31 2022/08/08 18:39:49,818 4911 [DEBUG ] [TestNG-test=FirefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:155) - -Dio.netty.allocator.numHeapArenas: 16
32 2022/08/08 18:39:49,819 4912 [DEBUG ] [TestNG-test=FirefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:156) - -Dio.netty.allocator.numDirectArenas: 16
33 2022/08/08 18:39:49,819 4912 [DEBUG ] [TestNG-test=FirefoxTest-3] netty.buffer.PooledByteBufAllocator netty.buffer.PooledByteBufAllocator.<clinit>(PooledByteBufAllocator.java:158) - -Dio.netty.allocator.pageSize: 8192
